experiment,rul_mae,rul_rmse,rul_r2,cr_mae,cr_mape,cr_r2,wt_mae,wt_r2,wt_loss_detect,forecast_avg_mae,baseline_rul_mae,ms_per_sample
exp6_bilstm_w60,16.05796241760254,63.963868432449814,0.36102116107940674,7.5352959632873535,610.1587524414062,0.28091228008270264,1.4247357845306396,0.008103251457214355,0.7672172554150313,2.0004465599854786,302.5999755859375,0.026
exp3_bilstm_optA,18.974693298339844,71.88277131900244,0.18970507383346558,10.084480285644531,846.5674438476562,-0.1085585355758667,1.4443215131759644,0.00998389720916748,0.9448454913880446,1.7184749364852905,290.314208984375,0.018
exp4_cnnlstm_optA,16.774654388427734,67.0818973869348,0.29432594776153564,9.562311172485352,914.7288208007812,0.011046767234802246,1.0346218347549438,0.37892913818359375,0.840859748154581,1.2909207363923392,290.314208984375,0.027
exp5_bilstm_w15,15.841429710388184,64.04412465124143,0.3554784059524536,6.840081691741943,364.7494201660156,0.27712661027908325,1.1603357791900635,0.27181464433670044,0.8885037550548815,1.5362761517365773,280.971435546875,0.023
exp2_lstm_optA,16.707664489746094,65.86130075772874,0.3197726011276245,10.130356788635254,932.4698486328125,-0.10661399364471436,1.0462827682495117,0.3774980306625366,0.8469025908235635,1.4038195312023163,290.314208984375,0.025
exp1_lstm_optB,12.587689399719238,58.31792788577647,0.46666795015335083,6.731287002563477,908.3941650390625,0.36892271041870117,0.8794642090797424,0.5559172630310059,0.8905051382255029,1.8239232261975606,290.314208984375,0.024
